feature,coef,abs_coef,nice_feature
cat__ILS_['26L'],-11.77183325791049,11.77183325791049,ILS_['26L']
cat__ILS_['06L' '06L'],11.582935705891348,11.582935705891348,ILS_['06L' '06L']
cat__ILS_['27R'],-10.924984569200664,10.924984569200664,ILS_['27R']
cat__ILS_['06L'],-10.888790531676946,10.888790531676946,ILS_['06L']
cat__ILS_['18R'],-10.237235149922798,10.237235149922798,ILS_['18R']
cat__ILS_['25L'],-9.923075186045214,9.923075186045214,ILS_['25L']
cat__ILS_['08R'],-9.872275883602269,9.872275883602269,ILS_['08R']
cat__ILS_['06'],-9.754905773013457,9.754905773013457,ILS_['06']
cat__ILS_['34'],-9.631065648816785,9.631065648816785,ILS_['34']
cat__ILS_['27L'],-9.613330439744251,9.613330439744251,ILS_['27L']
cat__ILS_['25R'],-9.467053043326926,9.467053043326926,ILS_['25R']
cat__ILS_['27R' '27R'],9.433103949522632,9.433103949522632,ILS_['27R' '27R']
cat__ILS_['28L'],-9.407177543622442,9.407177543622442,ILS_['28L']
cat__ILS_['14'],-9.35177811802984,9.35177811802984,ILS_['14']
cat__ILS_['32L'],-9.33850690353952,9.33850690353952,ILS_['32L']
cat__ILS_['26L' '26L'],9.323384997307176,9.323384997307176,ILS_['26L' '26L']
cat__ILS_['32R'],-9.30068282681112,9.30068282681112,ILS_['32R']
cat__ILS_['09L'],-9.183453119540646,9.183453119540646,ILS_['09L']
cat__ILS_['22R'],-9.078563879874004,9.078563879874004,ILS_['22R']
cat__ILS_['25C'],-9.049744427345386,9.049744427345386,ILS_['25C']
